Kanton;Geschlecht;Altersklasse;2013;2023
Zürich;Geschlecht - Total;Altersklasse - Total;2003;1656
Zürich;Geschlecht - Total;<10 Jahre;0;0
Zürich;Geschlecht - Total;10-14 Jahre;101;90
Zürich;Geschlecht - Total;15-17 Jahre;174;176
Zürich;Geschlecht - Total;18-19 Jahre;121;70
Zürich;Geschlecht - Total;20-24 Jahre;329;214
Zürich;Geschlecht - Total;25-29 Jahre;340;213
Zürich;Geschlecht - Total;30-34 Jahre;266;219
Zürich;Geschlecht - Total;35-39 Jahre;184;192
Zürich;Geschlecht - Total;40-44 Jahre;163;150
Zürich;Geschlecht - Total;45-49 Jahre;139;109
Zürich;Geschlecht - Total;50-54 Jahre;72;83
Zürich;Geschlecht - Total;55-59 Jahre;43;69
Zürich;Geschlecht - Total;60-64 Jahre;29;32
Zürich;Geschlecht - Total;65-69 Jahre;19;14
Zürich;Geschlecht - Total;70-79 Jahre;18;23
Zürich;Geschlecht - Total;80-89 Jahre;1;2
Zürich;Geschlecht - Total;90 Jahre und +;1;0
Zürich;Geschlecht - Total;ohne Angabe;3;0
Zürich;Mann;Altersklasse - Total;1443;1294
Zürich;Mann;<10 Jahre;0;0
Zürich;Mann;10-14 Jahre;69;69
Zürich;Mann;15-17 Jahre;109;154
Zürich;Mann;18-19 Jahre;85;61
Zürich;Mann;20-24 Jahre;242;168
Zürich;Mann;25-29 Jahre;269;179
Zürich;Mann;30-34 Jahre;204;177
Zürich;Mann;35-39 Jahre;139;154
Zürich;Mann;40-44 Jahre;121;103
Zürich;Mann;45-49 Jahre;97;76
Zürich;Mann;50-54 Jahre;41;56
Zürich;Mann;55-59 Jahre;25;47
Zürich;Mann;60-64 Jahre;19;23
Zürich;Mann;65-69 Jahre;9;11
Zürich;Mann;70-79 Jahre;9;15
Zürich;Mann;80-89 Jahre;NA;NA
Zürich;Mann;90 Jahre und +;NA;0
Zürich;Mann;ohne Angabe;NA;0
Zürich;Frau;Altersklasse - Total;560;362
Zürich;Frau;<10 Jahre;0;0
Zürich;Frau;10-14 Jahre;32;21
Zürich;Frau;15-17 Jahre;65;22
Zürich;Frau;18-19 Jahre;36;9
Zürich;Frau;20-24 Jahre;87;46
Zürich;Frau;25-29 Jahre;71;34
Zürich;Frau;30-34 Jahre;62;42
Zürich;Frau;35-39 Jahre;45;38
